Taxon,SiteId,lon,lat,FA,EUROMED,Cover
Primula hirsuta,RESBO_448889,5.82733420623,45.0301350511,600010190,28884,0
Primula hirsuta,ATFHA_405265,6.29236028829,44.8558779439,600010190,28884,0
Primula hirsuta,ATFHA_405323,6.25394986793,45.0022402515,600010190,28884,0
Primula hirsuta,RESBO_448319,5.92363674233,45.0508388635,600010190,28884,0
Primula hirsuta,CBNA_435959,5.83923319847,44.9762927517,600010190,28884,0
Primula hirsuta,CBNA_435961,5.84093456977,44.9783169829,600010190,28884,0
Primula hirsuta,CBNA_435967,5.8441473141,44.9820413908,600010190,28884,0
Primula hirsuta,CBNA_406385,6.45697017469,44.9994501298,600010190,28884,0
Primula hirsuta,CBNA_406422,6.45700578399,44.9983810561,600010190,28884,0
Primula hirsuta,CBNA_406507,6.45966178804,44.9972395134,600010190,28884,0
Primula hirsuta,CBNA_406510,6.45806778768,44.9951125974,600010190,28884,0
Primula hirsuta,CBNA_406589,6.47146001892,44.9812893928,600010190,28884,0
Primula hirsuta,CBNA_406600,6.47163205385,44.9754935544,600010190,28884,0
Primula hirsuta,CBNA_406601,6.47384618917,44.9729099326,600010190,28884,0
Primula hirsuta,CBNA_406602,6.47410705301,44.9721086898,600010190,28884,0
Primula hirsuta,CBNA_406616,6.47570885614,44.9729193053,600010190,28884,0
Primula hirsuta,CBNA_406752,6.53745182072,44.9538521127,600010190,28884,0
Primula hirsuta,CBNA_406822,6.48153210131,44.9521212056,600010190,28884,0
Primula hirsuta,JORDE_648954,6.98164316581,45.91618013,600010190,28884,0
Primula hirsuta,CBNA_407224,6.4154786006,44.9786702477,600010190,28884,0
Primula pedemontana,CBNA_648547,6.79533624779,45.5578352562,600010230,29063,0
Primula hirsuta,RESBO_588620,6.10462452035,45.120531373,600010190,28884,0
Primula hirsuta,AAAAA_408871,6.45497225605,44.9842227569,600010190,28884,0
Primula hirsuta,AAAAA_408881,6.48561889602,44.9522229126,600010190,28884,0
Primula hirsuta,CBNA_648516,6.91696730741,45.5541503585,600010190,28884,0
Primula hirsuta,AAAAA_408945,6.3473676664,44.7292953624,600010190,28884,0
Primula hirsuta,ECODI_409014,6.46226304218,44.9645158008,600010190,28884,0
Primula hirsuta,CBNA_437709,5.94703953827,44.9230414519,600010190,28884,0
Primula hirsuta,CBNA_409708,6.14586718939,44.709980562,600010190,28884,0
Primula hirsuta,CBNA_438002,5.94862346067,44.9405010548,600010190,28884,0
Primula hirsuta,CBNA_410117,6.15962852459,44.7024390232,600010190,28884,1
Primula hirsuta,CBNA_410161,6.18274168637,44.7068493974,600010190,28884,1
Primula hirsuta,CBNA_410189,6.16623419283,44.7632133701,600010190,28884,0
Primula hirsuta,CBNA_438438,5.93635564644,44.9318431084,600010190,28884,0
Primula hirsuta,RESBO_410291,6.36498707441,44.9830350343,600010190,28884,0
