Code ,Taxa
AMB,pede_sl
AML,pede_sl
AOL,pede_sl
CS1,pede_sl
CP1,pede_sl
CP4,pede_sl
DGB,daonensis 
DRL,daonensis 
DMB,hirsuta 
HC1,hirsuta 
HGL,hirsuta 
HS2,hirsuta 
HP1,hirsuta 
HPB,hirsuta 
PT1,pede_sl
PV1,pede_sl
GA2,valgau
GA4,valgau
VR3,villosa
VR1,villosa
VL2,villosa
VB1,villosa
