Species,Locality,Code,Morph,Collector,Date,Latitude,Longitude,Reads raw,Reads trimmed,Voucher
P. palinuri,"Punta del Fortino, Italy",PA4,Long-styled,G. Aronne,04/2014,15.2728,40.0319,1989807,1869313,Photo
P. palinuri,"Palinuro porto, Italy",PA6,Short-styled,G. Aronne,04/2014,15.2807,40.0304,1049574,882262,Photo
P. pedemontana,"Barrage de Tignes, France",PT1,NA,F. Boucher,27/07/14,6.94633,45.4805,6515454,6086010,YES
P. pedemontana,"Vallon d'Avérole, France",PV1,NA,F. Boucher,27/07/14,7.08707,45.29356,6480484,6100355,YES
P. recubariensis,"Passo Ristele, Italy",RB1,Short-styled,F. Boucher/L. Gallien,29/05/14,11.15821,45.68749,7566221,6960996,Photo
P. recubariensis,"Passo Ristele, Italy",RB2',Short-styled,F. Boucher/L. Gallien,29/05/14,11.15821,45.68749,6786380,6202878,Photo
P. recubariensis,"Passo Ristele, Italy",RRL,Long-styled,F. Boucher/L. Gallien,29/05/14,11.15821,45.68749,3248554,2855962,Photo
P. spectabilis,"Monte Zevola, Italy",SZB,Short-styled,F. Boucher/L. Gallien,29/05/14,11.14471,45.68398,5106078,4779956,Photo
P. spectabilis,"Passo Ristele, Italy",SPL,Long-styled,F. Boucher/L. Gallien,29/05/14,11.1602,45.68984,3077543,2871857,Photo
P. sp. Lauzon Valley,"Lauzon Valley, France",GA2,NA,P. Salomé/R. Bonet/F. Boucher,25/07/14,6.2784,44.8418,4150458,3873470,YES
P. sp. Lauzon Valley,"Lauzon Valley, France",GA4,NA,P. Salomé/R. Bonet/F. Boucher,25/07/14,6.2773,44.8366,4796528,4489119,YES
P. subpyrenaica,"Serra de Picandel, la Quar, Spain",SP1,NA,P. Aymerich,17/04/14,1.9718, 42.1145,4814822,4492059,YES
P. subpyrenaica,"Serra de Picandel, la Quar, Spain",SP2,NA,P. Aymerich,17/04/14,1.9718, 42.1145,2940638,2710620,YES
P. subpyrenaica,"Serra de Picandel, la Quar, Spain",SP3,NA,P. Aymerich,17/04/14,1.9718, 42.1145,5706619,5388602,YES
P. tyrolensis,"Monte Aste Alta, Italy",TA1,Long-styled,F. Boucher,01/06/14,11.57436,46.00639,2216467,2017213,Photo
P. tyrolensis,"Above Passo Rolle, Italy",TRL,Long-styled,F. Boucher/L. Gallien,28/05/14,11.793,46.30738,3110564,2819621,Photo
P. tyrolensis,"Above Passo Rolle, Italy",TRB,NA,F. Boucher/L. Gallien,28/05/14,11.793,46.30738,4692507,4297886,Photo
P. villosa ssp. irmingardis,"Rappolt Kogel, Austria",VR3,Short-styled,F. Boucher,07/06/14,14.88541,47.08313,4722814,4234314,Photo
P. villosa ssp. irmingardis,"Rappolt Kogel, Austria",VR1',Long-styled,F. Boucher,07/06/14,14.88541,47.08313,4789459,4283316,Photo
P. villosa ssp. villosa,"Turracher Hohe, Austria",VL2,Long-styled,F. Boucher,07/06/14,13.87581,46.91273,3227112,2776420,Photo
P. villosa ssp. villosa,"Turracher Hohe, Austria",VB1',Short-styled,F. Boucher,07/06/14,13.87581,46.91273,3004397,2708593,Photo
